SMILES,chembl_pxr_pchembl
CC(O)(c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,5.85
CC(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,5.3
CC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,6.12
CC(c1ccc2c(-c3cnn(C)c3)cc(C(N)=O)nc2c1)c1cnn(CC(F)(F)F)c1,4.72
CC(c1ccccc1)n1cnc2cc(NS(=O)(=O)Cc3ccccc3Cl)ccc21,6.699999999999999
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.84
CC/C(=C(/CC)c1ccc(OC)cc1)c1ccc(OC)cc1,4.98
CC/C(=C(/CC)c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,4.56
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.01
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,5.449999999999999
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,5.6
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,6.0
CC1(C)CCC(C)(C)c2cc(-c3nc4sccn4c3/C=N/OCc3ccc(Cl)c(Cl)c3)ccc21,5.44
CC1(C)CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.44
CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,4.93
CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,5.32
CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)C3(c4cccc(-c5cc(Cl)cc(Cl)c5)c4)CCC3)ccc2O1,5.52
CC1(C)CN2CCC[C@]2(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,5.25
CC1(C)Cc2c(c(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,5.61
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,4.64
CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)[O-].[K+],5.2
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,4.82
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,5.0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O3)C(C)(C)CCC1,4.68
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,5.32
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,4.66
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,5.43
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,4.9
CC1=CC(=O)c2ccccc2C1=O,4.92
CC1=CC[C@@]2(C)CC[C@@](O)(C(C)C)[C@@H]2C(OC(=O)c2ccc(O)cc2)C1,4.89
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,5.28
CC1CC=C(c2cc(C(N)=O)nc3cc(CN4C(=O)CCC4=O)ccc23)CC1,6.22
CC1CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.8
CC1CCN(c2cc(C(N)=O)nc3cc(CN4C(=O)CCC4=O)ccc23)CC1,6.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.5
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.29
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5.16
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.555
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,6.0
CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5.699999999999999
