SMILES,chembl_ahr_pchembl
Cn1c(=O)c(C(=O)Nc2ccc(F)cc2)cc2cccnc21,9.33
Cn1c(=O)c(C(=O)Nc2ccc(F)cn2)cc2ccccc21,9.41
Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,5.48
Cn1c(C(=O)N2CCC(C(N)=O)CC2)cc2cc(Cl)ccc21,6.04
Cn1c(N)c(C(=O)Nc2ccccc2F)sc1=S,6.07
Cn1c(O)c(C2=Nc3ccccc3/C2=N\OCCN2CCCC2)c2cccc(Br)c21,4.73
Cn1c2ccccc2c2cc3[nH]c4ccccc4c3c(C=O)c21,9.59
Cn1cc(Cc2[nH]c3ccccc3c2C=O)c2ccccc21,7.26
Cn1cc(Cc2cc3ccccc3[nH]2)c2ccccc21,7.07
FC(F)(F)c1ccc(-c2nc3ccc(Br)cn3n2)cc1,9.36
FC(F)(F)c1ccc(/C=C/c2cc(Cl)cc(Cl)c2)cc1,9.7
Fc1ccc(-c2nc3ccc(Br)cn3n2)cc1,5.93
Fc1ccc2nc(-c3ccc(Br)cc3)nn2c1,6.18
N#C/C(=C/c1ccccc1)c1nn(CCO)c(N)c1C#N,5.18
N#Cc1ccc2nc(-c3ccc(Br)cc3)[n+]([O-])n2c1,7.11
N#Cc1ccc2nc(-c3ccc(Br)cc3)nn2c1,7.64
N#Cc1cccc(C(=O)c2c[nH]c3ccccc23)n1,8.649999999999999
NC(=O)c1oc2ccccc2c1NC(=O)c1ccc(F)cc1,5.38
NNc1nc(O)c2c3c(sc2n1)-c1ccccc1CC3,6.43
NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1,6.62
Nc1[nH]ncc1C(=O)Nc1cccc(C(F)(F)F)c1,4.9
Nc1c(C(=O)c2ccc(Br)cc2)oc2ccccc12,5.48
Nc1cc2c3c(cccc3c1)C(=O)N(CCN1CCCC1)C2=O,6.54
Nc1ccccc1C(=O)C[C@H](N)C(=O)O,4.67
O=C(/C=C/c1ccccc1Cl)c1ccc[nH]1,5.12
O=C(/C=C\c1cccs1)c1c(O)ccc2ccc(=O)oc12,5.47
O=C(CN1CCOCC1)Nc1nc2ccc([N+](=O)[O-])cc2s1,5.58
O=C(N/N=C/c1c[nH]c2ccccc12)C1COc2ccccc2O1,5.25
O=C(N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1cncc(Br)c1,5.17
O=C(N/N=C/c1ccco1)c1ccc(C(=O)N/N=C/c2ccco2)o1,5.28
O=C(NC(=S)Nc1ccc(F)c(Cl)c1)C1CC1,6.07
O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,5.55
O=C(NCC(O)C(F)(F)F)c1cc(-c2ccc(OC(F)(F)F)cc2)nn(-c2cccnc2)c1=O,7.08
O=C(Nc1ccc(F)cc1)c1cc2cccc3c2n(c1=O)CC3,9.29
O=C(Nc1ccc2c(c1)OCO2)c1ccncc1,4.6
O=C(Nc1cccc(-c2nc3cc(Cl)ccc3o2)c1)C1CCCO1,5.59
O=C(Nc1cccc(Cl)c1)c1ccc(O)nn1,5.47
O=C(Nc1cccc(Cl)c1)c1cccnn1,6.23
O=C(Nc1ccccc1OC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,5.31
O=C(Nc1ccon1)c1cnc2sccn2c1=O,5.73
O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1,6.5
O=C(O)COn1c(-c2ccccc2)nc2ccc([N+](=O)[O-])cc21,5.32
O=C(O)c1cc(=O)c2ccccc2[nH]1,6.52
